,CustomerID,Recency,Frequency,Monetary,Cluster_KMeans,Cluster_CAH
0,12346.0,325,1,77183.6,2,0
1,12347.0,1,7,4310.0,0,2
2,12348.0,74,4,1797.24,0,2
3,12349.0,18,1,1757.55,0,2
4,12350.0,309,1,334.40000000000003,2,3
5,12352.0,35,8,2506.04,0,2
6,12353.0,203,1,89.0,2,3
7,12354.0,231,1,1079.4,2,3
8,12355.0,213,1,459.4,2,3
9,12356.0,22,3,2811.43,0,2
10,12357.0,32,1,6207.67,0,2
11,12358.0,1,2,1168.06,0,2
12,12359.0,57,4,6372.58,0,2
13,12360.0,51,3,2662.06,0,2
14,12361.0,286,1,189.9,2,3
15,12362.0,2,10,5226.2300000000005,0,2
16,12363.0,109,2,552.0,0,2
17,12364.0,7,4,1313.1,0,2
18,12365.0,290,2,641.38,2,3
19,12367.0,3,1,168.9,0,2
20,12370.0,50,4,3545.69,0,2
21,12371.0,44,2,1887.96,0,2
22,12372.0,71,3,1298.04,0,2
23,12373.0,310,1,364.6,2,3
24,12374.0,24,1,742.9300000000001,0,2
25,12375.0,10,2,457.5,0,2
26,12377.0,314,2,1628.12,2,3
27,12378.0,129,1,4008.62,0,2
28,12379.0,81,2,852.24,0,2
29,12380.0,21,4,2724.81,0,2
30,12381.0,4,5,1845.31,0,2
31,12383.0,184,5,1850.56,0,2
32,12384.0,28,2,585.27,0,2
33,12386.0,337,2,401.9,2,3
34,12388.0,15,6,2780.6600000000003,0,2
35,12390.0,79,1,549.84,0,2
36,12391.0,21,1,460.89,0,2
37,12393.0,71,4,1582.6,0,2
38,12394.0,63,2,1272.48,0,2
39,12395.0,18,12,3018.63,0,2
40,12397.0,35,2,2409.9,0,2
41,12398.0,45,1,1635.66,0,2
42,12399.0,118,4,1108.65,0,2
43,12401.0,302,1,84.3,2,3
44,12402.0,322,1,225.6,2,3
45,12403.0,49,1,427.7,0,2
46,12405.0,148,1,1710.39,0,2
47,12406.0,21,2,3415.3,0,2
48,12407.0,49,5,1708.12,0,2
49,12408.0,32,5,2888.55,0,2
50,12409.0,78,3,11072.67,0,2
51,12410.0,308,2,693.33,2,3
52,12412.0,74,3,1226.88,0,2
53,12413.0,66,3,758.1,0,2
54,12414.0,216,3,562.4100000000001,2,3
55,12415.0,23,21,124914.53,3,1
56,12417.0,2,9,3649.1,0,2
57,12418.0,112,1,668.58,0,2
58,12420.0,63,1,600.39,0,2
59,12421.0,15,4,807.04,0,2
60,12422.0,95,3,803.5600000000001,0,2
61,12423.0,0,8,1859.31,0,2
62,12424.0,162,2,1760.96,0,2
63,12425.0,77,1,777.2,0,2
64,12426.0,194,1,582.73,0,2
65,12427.0,21,3,825.8000000000001,0,2
66,12428.0,25,9,7956.46,0,2
67,12429.0,8,4,3750.4,0,2
68,12430.0,42,1,256.4,0,2
69,12431.0,35,15,6487.45,0,2
70,12432.0,42,5,5059.32,0,2
71,12433.0,0,7,13375.87,0,2
72,12434.0,84,2,806.14,0,2
73,12435.0,79,2,7829.89,0,2
74,12436.0,99,1,509.01,0,2
75,12437.0,1,18,4951.41,0,2
76,12438.0,13,2,2906.85,0,2
77,12441.0,366,1,173.55,2,3
78,12442.0,2,1,172.06,0,2
79,12444.0,20,5,5005.46,0,2
80,12445.0,21,1,133.4,0,2
81,12446.0,57,1,1002.31,0,2
82,12447.0,242,1,476.49,2,3
83,12448.0,43,1,449.45,0,2
84,12449.0,21,4,4067.29,0,2
85,12450.0,155,2,197.88,0,2
86,12451.0,10,5,9035.52,0,2
87,12452.0,16,2,430.5700000000001,0,2
88,12453.0,133,1,707.09,0,2
89,12454.0,55,1,3528.34,0,2
90,12455.0,72,6,2466.86,0,2
91,12456.0,43,3,3181.04,0,2
92,12457.0,65,7,2363.23,0,2
93,12458.0,70,2,947.4,0,2
94,12461.0,93,2,826.88,0,2
95,12462.0,18,2,1189.59,0,2
96,12463.0,52,4,1344.78,0,2
97,12464.0,9,8,1212.05,0,2
98,12465.0,16,2,742.19,0,2
99,12468.0,187,2,729.54,0,2
100,12471.0,1,30,19824.05,0,0
101,12472.0,31,7,6572.11,0,2
102,12473.0,28,5,3938.55,0,2
103,12474.0,16,18,7375.79,0,2
104,12475.0,53,1,723.38,0,2
